已排时间地点,调课结果
1-11周 星期四 11-13节 文萃楼F304,
"1-8周 星期二 1-2节 文萃楼F202,1-8周 星期四 6-7节 文萃楼F202",
"1-12周 星期一 6-7节 文萃楼F401,1-12周 星期三 6-7节 文萃楼F401",
"1-12周 星期一 6-7节 文萃楼I305,1-12周 星期三 6-7节 文萃楼I305",
"1-12周 星期一 6-7节 文萃楼I501,1-12周 星期三 6-7节 文萃楼I501",
"1-12周 星期一 1-2节 文萃楼I501,1-12周 星期三 1-2节 文萃楼I501",
"1-12周 星期一 6-7节 文萃楼F505,1-12周 星期三 6-7节 文萃楼F505",
"1-8周 星期二 6-7节 文萃楼I405,1-8周 星期五 6-7节 文萃楼I405",
"1-8周 星期二 3-4节 文萃楼F202,1-8周 星期四 3-4节 文萃楼F202",
"9-16周 星期一 8-9节 文萃楼I305,9-16周 星期三 8-9节 文萃楼I305","调课:12-16周 星期1 8-9节 程阳/6120220005 文萃楼I305 调至:12-16周 星期1 8-9节 程阳/6120220005 ,调课:12-16周 星期3 8-9节 程阳/6120220005 文萃楼I305 调至:12-16周 星期3 8-9节 程阳/6120220005"
"9-16周 星期二 3-5节 文萃楼I405,9-16周 星期五 3-5节 文萃楼I405",
"9-16周 星期二 6-7节 文萃楼B227,9-16周 星期五 6-7节 文萃楼B227",
"1-14周 星期一 6-7节 文萃楼F103,1-14周 星期四 1-2节 文萃楼F103",
"1-8周 星期四 8-9节 文萃楼I504,9-16周 星期五 1-2节 文萃楼I302",
"1-8周 星期四 11-12节 文萃楼I402,9-16周 星期五 3-4节 文萃楼I302",
"1-8周 星期四 6-7节 文萃楼B227,9-16周 星期五 1-2节 文萃楼M221",调课:6周 星期4 6-7节 卜祥元/6120103370 文萃楼B227 调至:6周 星期4 6-7节 张宇/6120104345 文萃楼B227
